City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
365,sorland,NO,59.92,67.67,12.69,Sjybrygga fiskecamp
366,miri,MY,82.4,4.41,114.01,"Mega Hotel, Miri"
367,la montanita,CO,72.12,1.48,-75.44,Casa Materna La Montañita
368,skibbereen,IE,55.4,51.55,-9.27,The West Cork Hotel
369,ceres,US,86.0,37.59,-120.96,Howard Johnson by Wyndham Modesto Ceres
370,keelung,TW,98.6,25.13,121.74,East Coast Star Boutique Hotel
371,nishihara,JP,84.2,26.18,127.76,Minshuku Agaihama
372,prudyanka,UA,69.8,50.24,36.17,
373,dolinsk,RU,53.6,47.35,142.8,"Gostinitsa ""Yubileynaya"""
374,talara,PE,65.93,-4.58,-81.27,Hostal Oro Negro
375,laguna,US,82.99,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
376,la ronge,CA,62.6,55.1,-105.28,Northland Motor Hotel
378,kruisfontein,ZA,50.9,-34.0,24.73,Oyster Bay House Rental
379,coquimbo,CL,51.8,-29.95,-71.34,Hotel San Juan
380,chapais,CA,71.6,49.78,-74.85,Hôtel Opémiska
381,nioro,GM,80.24,13.35,-15.75,
383,jesus,PY,66.04,-27.05,-55.78,ANIBAL BUSS - VIVIENDA
384,antofagasta,CL,57.2,-23.65,-70.4,Hotel Terrado Suites Antofagasta
386,oneida,US,71.6,43.2,-75.47,Wingate By Wyndham Rome
387,sao teotonio,PT,66.99,37.51,-8.71,Aterra
389,sao filipe,CV,76.01,14.9,-24.5,Tortuga B&B
390,belmonte,BR,68.0,-15.86,-38.88,Pousada Monte Carmelo O Pão
391,marrakesh,MA,71.6,31.63,-8.01,Les Jardins de La Koutoubia
392,fairbanks,US,53.6,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
393,ulladulla,AU,57.0,-35.35,150.47,Sandpiper Motel
394,northam,GB,51.01,51.03,-4.22,Durrant House Hotel
395,placido de castro,BR,74.75,-10.34,-67.19,Hotel Califórnia
396,westport,US,73.4,41.14,-73.36,The Westport Inn
398,davila,PH,89.6,18.47,120.58,SITIO 3 DAVILA PASUQUIN
399,manadhoo,MV,83.03,5.77,73.38,Reason Inn
400,hualmay,PE,61.16,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
401,ingham,US,69.8,42.6,-84.38,Sunset Place
403,onega,RU,55.63,63.91,38.14,Lunny Kot Guest House
405,sooke,CA,61.0,48.37,-123.73,Sooke Harbour House Hotel & Resort
406,neuquen,AR,48.2,-38.95,-68.06,Hotel del Comahue
407,samarai,PG,80.53,-10.62,150.67,Nuli Sapi
409,catamarca,AR,59.0,-28.47,-65.79,Amerian Catamarca Park Hotel
410,madras,IN,87.8,13.09,80.28,"Taj Connemara, Chennai"
411,saquarema,BR,71.91,-22.92,-42.51,Hotel Fazenda Sol e Lua
412,havoysund,NO,44.6,71.0,24.66,Arctic View Glamping & Restaurant
413,paita,PE,65.66,-5.09,-81.11,Hotel Náutico de Paita
414,havre de grace,US,72.0,39.55,-76.09,Super 8 by Wyndham Havre De Grace Aberdeen Area
415,golden gate,US,82.4,26.19,-81.7,Quality Inn & Suites Golf Resort
416,byron bay,AU,66.99,-28.65,153.62,Backpackers Inn on the Beach
417,lovozero,RU,52.47,68.0,35.01,Country house Lovozero
418,saquena,PE,72.3,-4.67,-73.52,
419,san andres,CO,80.6,12.58,-81.7,Hotel Arena Blanca
420,kamaishi,JP,69.8,39.27,141.88,Hotel Route Inn Kamaishi
421,salalah,OM,84.2,17.02,54.09,HAMDAN PLAZA HOTEL
422,conde,BR,71.08,-7.26,-34.91,Pousada Beija Flor
423,mbanza-ngungu,CD,62.24,-5.25,14.87,Hotel Full Business
424,moron,AR,53.01,-34.65,-58.62,Hotel Morón
425,portland,US,68.0,45.52,-122.68,Portland Marriott City Center
426,ballina,AU,66.99,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
